"","SCHOOL.CODE","PUBLIC..PRIVATE","Public.School.District.ID","PUBLIC.SCHOOL.DISTRICT","CITY","COUNTY","SCHOOL.NAME","ENROLLMENT","UP_TO_DATE","CONDITIONAL","PME","PBE_BETA","DTP","POLIO","MMR","HEPB","VARICELLA","REPORTED","DTP_Perc","POLIO_Perc","MMR_Perc","HEPB_Perc","UP_TO_DATE_Perc","CONDITIONAL_Perc"
"148",6054084,"PUBLIC","600035","FARMERSVILLE UNIFIED","FARMERSVILLE","TULARE","J. E. HESTER ELEMENTARY",171,167,4,0,0,168,169,169,170,171,"Y",98.2456140350877,98.8304093567251,98.8304093567251,99.4152046783626,97.6608187134503,2.33918128654971
"149",102277,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","WITTER RANCH ELEMENTARY",152,117,31,1,3,121,128,122,142,144,"Y",79.6052631578947,84.2105263157895,80.2631578947368,93.421052631579,76.9736842105263,20.3947368421053
"150",108860,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","WESTLAKE CHARTER",110,107,0,0,3,107,107,107,107,107,"Y",97.2727272727273,97.2727272727273,97.2727272727273,97.2727272727273,97.2727272727273,0
"151",111138,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","HERON",126,108,15,2,1,114,116,112,118,118,"Y",90.4761904761905,92.0634920634921,88.8888888888889,93.6507936507936,85.7142857142857,11.9047619047619
"152",116806,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","H. ALLEN HIGHT ELEMENTARY",120,99,19,1,1,102,105,99,113,114,"Y",85,87.5,82.5,94.1666666666667,82.5,15.8333333333333
"153",3430659,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","NATOMAS CHARTER",74,50,16,0,8,54,56,52,63,66,"Y",72.972972972973,75.6756756756757,70.2702702702703,85.1351351351351,67.5675675675676,21.6216216216216
"154",6100432,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","AMERICAN LAKES ELEMENTARY",78,78,0,0,0,78,78,78,78,78,"Y",100,100,100,100,100,0
"155",6104731,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","JEFFERSON ELEMENTARY",87,79,6,0,2,79,80,81,83,85,"Y",90.8045977011494,91.9540229885057,93.1034482758621,95.4022988505747,90.8045977011494,6.89655172413793
"156",6107981,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","BANNON CREEK ELEMENTARY",108,93,15,0,0,95,100,96,106,105,"Y",87.962962962963,92.5925925925926,88.8888888888889,98.1481481481482,86.1111111111111,13.8888888888889
"157",6117535,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","NATOMAS PARK ELEMENTARY",180,130,44,0,6,143,142,138,160,162,"Y",79.4444444444444,78.8888888888889,76.6666666666667,88.8888888888889,72.2222222222222,24.4444444444444
"158",6118624,"PUBLIC","600036","NATOMAS UNIFIED","SACRAMENTO","SACRAMENTO","TWO RIVERS ELEMENTARY",84,68,7,2,7,69,70,68,75,75,"Y",82.1428571428571,83.3333333333333,80.952380952381,89.2857142857143,80.952380952381,8.33333333333333
"159",6007843,"PUBLIC","600037","FERNDALE UNIFIED","FERNDALE","HUMBOLDT","FERNDALE ELEMENTARY",36,27,3,0,6,28,28,27,30,30,"Y",77.7777777777778,77.7777777777778,75,83.3333333333333,75,8.33333333333333
"160",1230135,"PUBLIC","600038","MATTOLE UNIFIED","PETROLIA","HUMBOLDT","MATTOLE VALLEY CHARTER (#159)",53,15,11,0,27,15,16,15,18,19,"Y",28.3018867924528,30.188679245283,28.3018867924528,33.9622641509434,28.3018867924528,20.7547169811321
"161",105817,"PUBLIC","600039","DELHI UNIFIED","DELHI","MERCED","HARMONY ELEMENTARY",84,84,0,0,0,84,84,84,84,84,"Y",100,100,100,100,100,0
"162",6025407,"PUBLIC","600039","DELHI UNIFIED","DELHI","MERCED","EL CAPITAN ELEMENTARY",53,51,2,0,0,53,53,51,53,53,"Y",100,100,96.2264150943396,100,96.2264150943396,3.77358490566038
"163",6025415,"PUBLIC","600039","DELHI UNIFIED","DELHI","MERCED","SCHENDEL ELEMENTARY",81,80,1,0,0,80,80,80,81,81,"Y",98.7654320987654,98.7654320987654,98.7654320987654,100,98.7654320987654,1.23456790123457
"164",6007090,"PUBLIC","600040","RIVERDALE JOINT UNIFIED","RIVERDALE","FRESNO","FIPPS PRIMARY",132,123,8,0,1,123,124,125,131,131,"Y",93.1818181818182,93.9393939393939,94.6969696969697,99.2424242424242,93.1818181818182,6.06060606060606
"165",6040661,"PUBLIC","600042","WARNER UNIFIED","WARNER SPRINGS","SAN DIEGO","WARNER ELEMENTARY",17,4,13,0,0,9,9,8,15,17,"Y",52.9411764705882,52.9411764705882,47.0588235294118,88.2352941176471,23.5294117647059,76.4705882352941
"166",6049936,"PUBLIC","600043","SCOTTS VALLEY UNIFIED","SANTA CRUZ","SANTA CRUZ","BROOK KNOLL ELEMENTARY",83,77,2,0,4,79,79,78,78,79,"Y",95.1807228915663,95.1807228915663,93.9759036144578,93.9759036144578,92.7710843373494,2.40963855421687
"167",6049951,"PUBLIC","600043","SCOTTS VALLEY UNIFIED","SCOTTS VALLEY","SANTA CRUZ","VINE HILL ELEMENTARY",103,100,1,0,2,100,101,101,101,101,"Y",97.0873786407767,98.0582524271845,98.0582524271845,98.0582524271845,97.0873786407767,0.970873786407767
"168",124230,"PUBLIC","600044","HEALDSBURG UNIFIED","HEALDSBURG","SONOMA","HEALDSBURG CHARTER",43,40,0,0,3,40,40,40,40,40,"Y",93.0232558139535,93.0232558139535,93.0232558139535,93.0232558139535,93.0232558139535,0
"169",6051791,"PUBLIC","600044","HEALDSBURG UNIFIED","HEALDSBURG","SONOMA","HEALDSBURG ELEMENTARY",109,94,8,1,6,95,97,97,101,101,"Y",87.1559633027523,88.9908256880734,88.9908256880734,92.6605504587156,86.2385321100918,7.3394495412844
"170",6007488,"PUBLIC","600045","ORLAND JOINT UNIFIED","ORLAND","GLENN","MILL STREET ELEMENTARY",188,188,0,0,0,188,188,188,188,188,"Y",100,100,100,100,100,0
"171",6066955,"PUBLIC","600046","GONZALES UNIFIED","GONZALES","MONTEREY","LA GLORIA ELEMENTARY",192,188,4,0,0,188,188,188,188,192,"Y",97.9166666666667,97.9166666666667,97.9166666666667,97.9166666666667,97.9166666666667,2.08333333333333
"172",102384,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","PRIMARY CHARTER",60,59,0,0,1,59,59,59,59,59,"Y",98.3333333333333,98.3333333333333,98.3333333333333,98.3333333333333,98.3333333333333,0
"173",108357,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","GEORGE KELLY ELEMENTARY",108,106,1,0,1,106,106,106,106,107,"Y",98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,98.1481481481482,0.925925925925926
"174",6042832,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","CENTRAL ELEMENTARY",91,88,1,0,2,89,89,89,88,89,"Y",97.8021978021978,97.8021978021978,97.8021978021978,96.7032967032967,96.7032967032967,1.0989010989011
"175",6042857,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","MCKINLEY ELEMENTARY",58,57,1,0,0,58,58,57,58,58,"Y",100,100,98.2758620689655,100,98.2758620689655,1.72413793103448
"176",6042865,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","NORTH ELEMENTARY",81,80,0,0,1,80,80,80,80,80,"Y",98.7654320987654,98.7654320987654,98.7654320987654,98.7654320987654,98.7654320987654,0
"177",6042881,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","SOUTH/WEST PARK ELEMENTARY",179,175,2,0,2,175,177,177,177,177,"Y",97.7653631284916,98.8826815642458,98.8826815642458,98.8826815642458,97.7653631284916,1.11731843575419
"178",6106488,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","LOUIS J. VILLALOVOZ ELEMENTARY",92,91,0,1,0,91,91,91,91,91,"Y",98.9130434782609,98.9130434782609,98.9130434782609,98.9130434782609,98.9130434782609,0
"179",6107973,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","MELVILLE S. JACOBSON ELEMENTARY",131,130,1,0,0,130,130,130,130,130,"Y",99.236641221374,99.236641221374,99.236641221374,99.236641221374,99.236641221374,0.763358778625954
"180",6108997,"PUBLIC","600047","TRACY JOINT UNIFIED","TRACY","SAN JOAQUIN","GLADYS POET-CHRISTIAN ELEMENTARY",54,51,0,0,3,51,51,51,51,51,"Y",94.4444444444444,94.4444444444444,94.4444444444444,94.4444444444444,94.4444444444444,0
