index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance,Year,division,home_had_top3_award_player,visitor_had_top3_award_player,h_division,v_division,rivalry_game,h_win_perc,v_win_perc
147675,2007-04-07,Sat,D,LAN,SFN,11,1.0333333333333334,8.266666666666667,4.3,5,42098,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.438,0.506
147676,2007-04-07,Sat,N,ARI,WAS,12,0.6,9,4.433333333333334,6,16617,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.451,0.556
147677,2007-04-07,Sat,N,OAK,ANA,21,1.0666666666666669,9.833333333333334,4.366666666666666,6,44007,2007,AL WEST,1,0,AL WEST,AL WEST,1,0.58,0.469
147678,2007-04-07,Sat,D,MIN,CHA,12,1.3,8.466666666666667,4.266666666666667,4,33278,2007,AL CENTRAL,0,0,AL CENTRAL,AL CENTRAL,1,0.444,0.488
147679,2007-04-07,Sat,D,DET,KCA,14,0.7333333333333333,9.7,5,5,13899,2007,AL CENTRAL,1,1,AL CENTRAL,AL CENTRAL,1,0.426,0.543
147680,2007-04-07,Sat,D,BAL,NYA,17,1.3666666666666667,10.066666666666666,6.166666666666667,4,50510,2007,AL EAST,1,0,AL EAST,AL EAST,1,0.58,0.426
147681,2007-04-07,Sat,N,TOR,TBA,9,1.3,9.166666666666666,4.2,4,18495,2007,AL EAST,1,0,AL EAST,AL EAST,1,0.407,0.512
147682,2007-04-07,Sat,N,BOS,TEX,12,1.1,9.133333333333333,4.733333333333333,5,40865,2007,AL WEST,0,1,AL WEST,AL EAST,0,0.463,0.593
147683,2007-04-08,Sun,D,NYN,ATL,17,1.5666666666666669,8.8,5,6,24832,2007,NL EAST,0,0,NL EAST,NL EAST,1,0.519,0.543
147684,2007-04-08,Sun,D,PIT,CIN,16,0.9,7.5,3.566666666666667,6,14001,2007,NL CENTRAL,0,0,NL CENTRAL,NL CENTRAL,1,0.444,0.42
147685,2007-04-08,Sun,D,PHI,MIA,12,1.2666666666666666,9.433333333333334,4.6,6,16308,2007,NL EAST,0,1,NL EAST,NL EAST,1,0.438,0.549
147686,2007-04-08,Sun,D,SLN,HOU,16,1.2333333333333334,8.6,4.2,6,36273,2007,NL CENTRAL,1,0,NL CENTRAL,NL CENTRAL,1,0.451,0.481
147687,2007-04-08,Sun,D,CHN,MIL,15,1.1666666666666667,8.566666666666666,4.666666666666667,6,28019,2007,NL CENTRAL,1,0,NL CENTRAL,NL CENTRAL,1,0.512,0.525
147688,2007-04-08,Sun,D,COL,SDN,20,0.9666666666666668,9.333333333333334,4.733333333333333,6,27086,2007,NL WEST,1,1,NL WEST,NL WEST,1,0.546,0.552
147689,2007-04-08,Sun,D,LAN,SFN,10,0.9333333333333332,8.2,4.2,6,39343,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.438,0.506
147690,2007-04-08,Sun,D,ARI,WAS,12,0.6333333333333333,9.133333333333333,4.466666666666667,7,17224,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.451,0.556
147691,2007-04-08,Sun,D,OAK,ANA,21,1.0666666666666669,9.933333333333334,4.4,7,37783,2007,AL WEST,1,0,AL WEST,AL WEST,1,0.58,0.469
147692,2007-04-08,Sun,D,MIN,CHA,13,1.2666666666666666,8.5,4.266666666666667,5,27653,2007,AL CENTRAL,0,0,AL CENTRAL,AL CENTRAL,1,0.444,0.488
147693,2007-04-08,Sun,D,DET,KCA,14,0.7666666666666667,9.666666666666666,5.066666666666666,6,13109,2007,AL CENTRAL,1,1,AL CENTRAL,AL CENTRAL,1,0.426,0.543
147694,2007-04-08,Sun,D,BAL,NYA,17,1.4,9.733333333333333,6.1,5,47679,2007,AL EAST,1,0,AL EAST,AL EAST,1,0.58,0.426
147695,2007-04-08,Sun,D,TOR,TBA,9,1.2666666666666666,9.066666666666666,4.266666666666667,5,12436,2007,AL EAST,1,0,AL EAST,AL EAST,1,0.407,0.512
147696,2007-04-08,Sun,N,BOS,TEX,13,1.1333333333333333,9.266666666666667,4.833333333333333,6,28347,2007,AL WEST,0,1,AL WEST,AL EAST,0,0.463,0.593
147697,2007-04-09,Mon,N,CIN,ARI,16,1.0333333333333334,9.333333333333334,4.666666666666667,8,41803,2007,NL WEST,1,0,NL WEST,NL CENTRAL,0,0.556,0.444
147698,2007-04-09,Mon,D,HOU,CHN,14,1.2,9.633333333333333,5.1,7,41388,2007,NL CENTRAL,0,1,NL CENTRAL,NL CENTRAL,1,0.525,0.451
147699,2007-04-09,Mon,N,MIL,MIA,13,1.3,9.666666666666666,4.8,7,11157,2007,NL EAST,0,1,NL EAST,NL CENTRAL,0,0.438,0.512
147700,2007-04-09,Mon,D,COL,LAN,19,1.1666666666666667,8.933333333333334,5.066666666666666,7,56000,2007,NL WEST,1,1,NL WEST,NL WEST,1,0.506,0.552
147701,2007-04-09,Mon,D,PHI,NYN,15,0.9,8.766666666666667,4.366666666666666,7,56227,2007,NL EAST,0,1,NL EAST,NL EAST,1,0.543,0.549
147702,2007-04-09,Mon,D,SLN,PIT,16,0.8666666666666667,8.233333333333333,3.6333333333333337,7,38429,2007,NL CENTRAL,0,0,NL CENTRAL,NL CENTRAL,1,0.42,0.481
147703,2007-04-09,Mon,N,SFN,SDN,20,0.9666666666666668,9.166666666666666,4.633333333333334,7,31388,2007,NL WEST,1,0,NL WEST,NL EAST,0,0.546,0.438
147704,2007-04-09,Mon,D,DET,BAL,11,1.1666666666666667,9.466666666666669,4.466666666666667,7,48159,2007,AL EAST,0,1,AL EAST,AL CENTRAL,0,0.426,0.543
147705,2007-04-09,Mon,N,NYA,MIN,20,0.8,10.333333333333334,4.866666666666666,6,26047,2007,AL CENTRAL,0,1,AL CENTRAL,AL EAST,0,0.488,0.58
147706,2007-04-09,Mon,N,CHA,OAK,16,0.9,9.266666666666667,4.8,8,35077,2007,AL WEST,0,0,AL WEST,AL CENTRAL,0,0.469,0.444
147707,2007-04-09,Mon,N,TBA,TEX,12,1.1333333333333333,9.066666666666666,4.733333333333333,7,21547,2007,AL WEST,0,1,AL WEST,AL EAST,0,0.463,0.407
147708,2007-04-09,Mon,N,KCA,TOR,19,0.9666666666666668,9.9,5.033333333333333,6,50125,2007,AL EAST,0,1,AL EAST,AL CENTRAL,0,0.512,0.426
147709,2007-04-10,Tue,N,CIN,ARI,17,1.0333333333333334,9.333333333333334,4.7,9,21225,2007,NL WEST,1,0,NL WEST,NL CENTRAL,0,0.556,0.444
