index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance
147696,2007-04-08,Sun,N,BOS,TEX,13,1.1333333333333333,9.266666666666667,4.833333333333333,6,28347
147697,2007-04-09,Mon,N,CIN,ARI,16,1.0333333333333334,9.333333333333334,4.666666666666667,8,41803
147698,2007-04-09,Mon,D,HOU,CHN,14,1.2,9.633333333333333,5.1,7,41388
147699,2007-04-09,Mon,N,MIL,MIA,13,1.3,9.666666666666666,4.8,7,11157
147700,2007-04-09,Mon,D,COL,LAN,19,1.1666666666666667,8.933333333333334,5.066666666666666,7,56000
147701,2007-04-09,Mon,D,PHI,NYN,15,0.9,8.766666666666667,4.366666666666666,7,56227
147702,2007-04-09,Mon,D,SLN,PIT,16,0.8666666666666667,8.233333333333333,3.6333333333333333,7,38429
147703,2007-04-09,Mon,N,SFN,SDN,20,0.9666666666666667,9.166666666666666,4.633333333333334,7,31388
147704,2007-04-09,Mon,D,DET,BAL,11,1.1666666666666667,9.466666666666667,4.466666666666667,7,48159
147705,2007-04-09,Mon,N,NYA,MIN,20,0.8,10.333333333333334,4.866666666666666,6,26047
147706,2007-04-09,Mon,N,CHA,OAK,16,0.9,9.266666666666667,4.8,8,35077
147707,2007-04-09,Mon,N,TBA,TEX,12,1.1333333333333333,9.066666666666666,4.733333333333333,7,21547
147708,2007-04-09,Mon,N,KCA,TOR,19,0.9666666666666667,9.9,5.033333333333333,6,50125
147709,2007-04-10,Tue,N,CIN,ARI,17,1.0333333333333334,9.333333333333334,4.7,9,21225
147710,2007-04-10,Tue,N,WAS,ATL,18,1.5666666666666667,8.766666666666667,5.066666666666666,7,18396
147711,2007-04-10,Tue,D,HOU,CHN,13,1.1666666666666667,9.466666666666667,4.966666666666667,8,35924
147712,2007-04-10,Tue,N,MIL,MIA,13,1.2666666666666666,9.8,4.9,8,10883
147713,2007-04-10,Tue,N,COL,LAN,18,1.2,9,5.1,8,40560
147714,2007-04-10,Tue,N,SLN,PIT,15,0.8,8,3.433333333333333,8,12468
147715,2007-04-10,Tue,N,SFN,SDN,20,0.9333333333333333,9.066666666666666,4.6,8,28878
147716,2007-04-10,Tue,N,DET,BAL,12,1.1,9.533333333333333,4.533333333333333,8,18594
147717,2007-04-10,Tue,D,SEA,BOS,15,0.7333333333333333,8,4.1,7,35847
147718,2007-04-10,Tue,N,ANA,CLE,15,0.9666666666666667,9.5,5.233333333333333,4,19031
147719,2007-04-10,Tue,N,NYA,MIN,20,0.7333333333333333,10.333333333333334,4.866666666666666,7,24552
147720,2007-04-10,Tue,N,CHA,OAK,15,0.8333333333333334,9,4.566666666666666,9,15153
147721,2007-04-10,Tue,N,TBA,TEX,12,1.0333333333333334,9.266666666666667,4.733333333333333,8,23897
147722,2007-04-10,Tue,N,KCA,TOR,19,0.9333333333333333,10.166666666666666,5.2,7,22106
147723,2007-04-11,Wed,N,CIN,ARI,17,1.0333333333333334,9.1,4.433333333333334,10,19534
147724,2007-04-11,Wed,N,WAS,ATL,19,1.6333333333333333,8.9,5.333333333333333,8,15631
